ICacheEventId,CoreId,CoreTypeId,EventTimeTick,SourceInstrAddr,EventSize,HitStatus,ICacheEventType
2039,0,3,7592,624191671744,16,1,1
2040,0,3,7593,624191671760,16,1,1
2041,0,2,7594,624191671460,12,1,1
2042,0,3,7594,624191671776,16,1,1
2043,0,2,7595,624191671472,16,1,1
2044,0,2,7596,624191671488,16,1,1
2045,0,2,7597,624191671504,16,1,1
2046,0,3,7605,624191671792,16,1,1
2047,0,3,7606,624191671808,16,1,1
2048,0,3,7607,624191671824,16,1,1
2049,0,3,7608,624191671840,16,1,1
2050,0,3,7609,624191671856,16,1,1
2051,0,2,7611,624191671520,16,1,1
2052,0,2,7612,624191671536,16,1,1
2053,0,2,7613,624191671552,16,1,1
2054,0,3,7620,624191671772,4,1,1
2055,0,3,7621,624191671776,16,1,1
2056,0,2,7622,624191671568,16,1,1
2057,0,3,7622,624191671792,16,1,1
2058,0,2,7623,624191671584,16,1,1
2059,0,3,7623,624191671808,16,1,1
2060,0,2,7624,624191671600,16,1,1
2061,0,3,7624,624191671824,16,1,1
2062,0,3,7625,624191671840,16,1,1
2063,0,3,7626,624191671856,16,1,1
2064,0,3,7627,624191671872,16,1,1
2065,0,3,7628,624191671888,16,1,1
2066,0,3,7629,624191671904,16,1,1
2067,0,3,7630,624191671920,16,1,1
2068,0,3,7631,624191671936,16,1,1
2069,0,2,7632,624191671500,4,1,1
2070,0,3,7632,624191671952,16,1,1
2071,0,2,7633,624191671504,16,1,1
2072,0,3,7633,624191671968,16,1,1
2073,0,2,7634,624191671520,16,1,1
2074,0,3,7634,624191671984,16,1,1
2075,0,2,7635,624191671536,16,1,1
2076,0,2,7636,624191671552,16,1,1
2077,0,1,7637,624191669940,12,1,1
2078,0,2,7637,624191671568,16,1,1
2079,0,1,7638,624191669952,16,1,1
2080,0,2,7638,624191671584,16,1,1
2081,0,1,7639,624191669968,16,1,1
2082,0,2,7639,624191671600,16,1,1
2083,0,1,7640,624191669984,16,1,1
2084,0,2,7640,624191671616,16,1,1
2085,0,1,7641,624191669972,12,1,1
2086,0,2,7641,624191671632,16,1,1
2087,0,1,7642,624191669984,16,1,1
2088,0,2,7642,624191671648,16,1,1
2089,0,3,7642,624191672000,16,1,1
2090,0,1,7643,624191670000,16,1,1
2091,0,2,7643,624191671664,16,1,1
2092,0,3,7643,624191672016,16,1,1
2093,0,1,7644,624191669944,8,1,1
2094,0,2,7644,624191671680,16,1,1
2095,0,3,7644,624191672032,16,1,1
2096,0,1,7645,624191669952,16,1,1
2097,0,2,7645,624191671696,16,1,1
2098,0,3,7645,624191672048,16,1,1
2099,0,1,7646,624191669968,16,1,1
2100,0,1,7647,624191669984,16,1,1
2101,0,1,7648,624191669972,12,1,1
2102,0,1,7649,624191669984,16,1,1
2103,0,1,7650,624191670000,16,1,1
2104,0,1,7652,624191669984,16,1,1
2105,0,1,7653,624191670000,16,1,1
2106,0,2,7653,624191671712,16,1,1
2107,0,1,7654,624191670016,16,1,1
2108,0,2,7654,624191671728,16,1,1
2109,0,1,7655,624191669944,8,1,1
2110,0,2,7655,624191671744,16,1,1
2111,0,1,7656,624191669952,16,1,1
2112,0,2,7656,624191671760,16,1,1
2113,0,3,7656,624191671452,4,1,1
2114,0,1,7657,624191669968,16,1,1
2115,0,3,7657,624191671456,16,1,1
2116,0,1,7658,624191669984,16,1,1
2117,0,3,7658,624191671472,16,1,1
2118,0,1,7659,624191669972,12,1,1
2119,0,3,7659,624191671488,16,1,1
2120,0,1,7661,624191669996,4,1,1
2121,0,1,7662,624191670000,16,1,1
2122,0,1,7663,624191670016,16,1,1
2123,0,1,7664,624191670032,16,1,1
2124,0,1,7665,624191669940,12,1,1
2125,0,3,7665,624191671460,12,1,1
2126,0,1,7666,624191669952,16,1,1
2127,0,3,7666,624191671472,16,1,1
2128,0,1,7667,624191669968,16,1,1
2129,0,2,7667,624191671732,12,1,1
2130,0,3,7667,624191671488,16,1,1
2131,0,1,7668,624191669984,16,1,1
2132,0,2,7668,624191671744,16,1,1
2133,0,3,7668,624191671504,16,1,1
2134,0,2,7669,624191671760,16,1,1
2135,0,1,7670,624191670008,8,1,1
2136,0,2,7670,624191671776,16,1,1
2137,0,1,7671,624191670016,16,1,1
2138,0,1,7672,624191670032,16,1,1
2139,0,1,7673,624191670048,16,1,1
2140,0,1,7681,624191669940,12,1,1
2141,0,2,7681,624191671792,16,1,1
2142,0,1,7682,624191669952,16,1,1
2143,0,2,7682,624191671808,16,1,1
2144,0,3,7682,624191671520,16,1,1
2145,0,1,7683,624191669968,16,1,1
2146,0,2,7683,624191671824,16,1,1
2147,0,3,7683,624191671536,16,1,1
2148,0,1,7684,624191669984,16,1,1
2149,0,2,7684,624191671840,16,1,1
2150,0,3,7684,624191671552,16,1,1
2151,0,1,7685,624191669972,12,1,1
2152,0,2,7685,624191671856,16,1,1
2153,0,1,7686,624191669984,16,1,1
2154,0,1,7687,624191670000,16,1,1
2155,0,1,7688,624191669944,8,1,1
2156,0,1,7689,624191669952,16,1,1
2157,0,1,7690,624191669968,16,1,1
2158,0,1,7691,624191669984,16,1,1
2159,0,1,7692,624191669972,12,1,1
2160,0,1,7693,624191669984,16,1,1
2161,0,3,7693,624191671568,16,1,1
2162,0,1,7694,624191670000,16,1,1
2163,0,3,7694,624191671584,16,1,1
2164,0,1,7695,624191669944,8,1,1
2165,0,3,7695,624191671600,16,1,1
2166,0,1,7696,624191669952,16,1,1
2167,0,2,7696,624191671772,4,1,1
2168,0,1,7697,624191669968,16,1,1
2169,0,2,7697,624191671776,16,1,1
2170,0,1,7698,624191669984,16,1,1
2171,0,2,7698,624191671792,16,1,1
2172,0,2,7699,624191671808,16,1,1
2173,0,1,7700,624191669968,16,1,1
2174,0,2,7700,624191671824,16,1,1
2175,0,1,7701,624191669984,16,1,1
2176,0,2,7701,624191671840,16,1,1
2177,0,1,7702,624191670000,16,1,1
2178,0,2,7702,624191671856,16,1,1
2179,0,1,7703,624191670212,12,1,1
2180,0,2,7703,624191671872,16,1,1
2181,0,3,7703,624191671500,4,1,1
2182,0,1,7704,624191670224,16,1,1
2183,0,2,7704,624191671888,16,1,1
2184,0,3,7704,624191671504,16,1,1
2185,0,1,7705,624191670240,16,1,1
2186,0,2,7705,624191671904,16,1,1
2187,0,3,7705,624191671520,16,1,1
2188,0,1,7706,624191670256,16,1,1
2189,0,2,7706,624191671920,16,1,1
2190,0,3,7706,624191671536,16,1,1
2191,0,1,7707,624191670272,16,0,1
2192,0,2,7707,624191671936,16,1,1
2193,0,3,7707,624191671552,16,1,1
2194,0,1,7708,624191670400,128,0,1
2195,0,2,7708,624191671952,16,1,1
2196,0,3,7708,624191671568,16,1,1
2197,0,1,7709,624191670528,128,0,1
2198,0,2,7709,624191671968,16,1,1
2199,0,3,7709,624191671584,16,1,1
2200,0,1,7710,624191670656,128,0,1
2201,0,2,7710,624191671984,16,1,1
2202,0,3,7710,624191671600,16,1,1
2203,0,3,7711,624191671616,16,1,1
2204,0,3,7712,624191671632,16,1,1
2205,0,3,7713,624191671648,16,1,1
2206,0,3,7714,624191671664,16,1,1
2207,0,3,7715,624191671680,16,1,1
2208,0,3,7716,624191671696,16,1,1
2209,0,2,7718,624191672000,16,1,1
2210,0,2,7719,624191672016,16,1,1
2211,0,2,7720,624191672032,16,1,1
2212,0,2,7721,624191672048,16,1,1
2213,0,3,7724,624191671712,16,1,1
2214,0,3,7725,624191671728,16,1,1
2215,0,3,7726,624191671744,16,1,1
2216,0,3,7727,624191671760,16,1,1
2217,0,2,7732,624191671452,4,1,1
2218,0,2,7733,624191671456,16,1,1
2219,0,2,7734,624191671472,16,1,1
2220,0,2,7735,624191671488,16,1,1
2221,0,3,7738,624191671732,12,1,1
2222,0,3,7739,624191671744,16,1,1
2223,0,3,7740,624191671760,16,1,1
2224,0,2,7741,624191671460,12,1,1
2225,0,3,7741,624191671776,16,1,1
2226,0,2,7742,624191671472,16,1,1
2227,0,2,7743,624191671488,16,1,1
2228,0,2,7744,624191671504,16,1,1
2229,0,3,7752,624191671792,16,1,1
2230,0,3,7753,624191671808,16,1,1
2231,0,3,7754,624191671824,16,1,1
2232,0,3,7755,624191671840,16,1,1
2233,0,3,7756,624191671856,16,1,1
2234,0,2,7758,624191671520,16,1,1
2235,0,2,7759,624191671536,16,1,1
2236,0,2,7760,624191671552,16,1,1
2237,0,3,7767,624191671772,4,1,1
2238,0,3,7768,624191671776,16,1,1
2239,0,2,7769,624191671568,16,1,1
2240,0,3,7769,624191671792,16,1,1
2241,0,2,7770,624191671584,16,1,1
2242,0,3,7770,624191671808,16,1,1
