CoreId,CoreTypeId,VfId,MetricId,MetricName,MetricDelta
0,2,15,20,c_slot_idu_disp_total,65
0,2,16,20,c_slot_idu_disp_total,15
0,2,17,20,c_slot_idu_disp_total,65
0,2,18,20,c_slot_idu_disp_total,15
0,2,3,21,c_slot_idu_not_disp.asu_busy,0
0,2,4,21,c_slot_idu_not_disp.asu_busy,0
0,2,5,21,c_slot_idu_not_disp.asu_busy,0
0,2,6,21,c_slot_idu_not_disp.asu_busy,0
0,2,7,21,c_slot_idu_not_disp.asu_busy,0
0,2,8,21,c_slot_idu_not_disp.asu_busy,0
0,2,9,21,c_slot_idu_not_disp.asu_busy,0
0,2,10,21,c_slot_idu_not_disp.asu_busy,0
0,2,11,21,c_slot_idu_not_disp.asu_busy,0
0,2,12,21,c_slot_idu_not_disp.asu_busy,0
0,2,13,21,c_slot_idu_not_disp.asu_busy,0
0,2,14,21,c_slot_idu_not_disp.asu_busy,0
0,2,15,21,c_slot_idu_not_disp.asu_busy,0
0,2,16,21,c_slot_idu_not_disp.asu_busy,0
0,2,17,21,c_slot_idu_not_disp.asu_busy,0
0,2,18,21,c_slot_idu_not_disp.asu_busy,0
0,2,3,22,c_slot_idu_not_disp.vec_stall,0
0,2,4,22,c_slot_idu_not_disp.vec_stall,0
0,2,5,22,c_slot_idu_not_disp.vec_stall,0
0,2,6,22,c_slot_idu_not_disp.vec_stall,0
0,2,7,22,c_slot_idu_not_disp.vec_stall,0
0,2,8,22,c_slot_idu_not_disp.vec_stall,0
0,2,9,22,c_slot_idu_not_disp.vec_stall,0
0,2,10,22,c_slot_idu_not_disp.vec_stall,0
0,2,11,22,c_slot_idu_not_disp.vec_stall,0
0,2,12,22,c_slot_idu_not_disp.vec_stall,0
0,2,13,22,c_slot_idu_not_disp.vec_stall,0
0,2,14,22,c_slot_idu_not_disp.vec_stall,0
0,2,15,22,c_slot_idu_not_disp.vec_stall,0
0,2,16,22,c_slot_idu_not_disp.vec_stall,0
0,2,17,22,c_slot_idu_not_disp.vec_stall,0
0,2,18,22,c_slot_idu_not_disp.vec_stall,0
