ExecInstrId,DispatchTimeTick
2473901163660,5324
2473901163661,5328
2473901163662,5332
2473901163663,5332
2473901163664,5333
2473901163665,5333
2473901163666,5334
2473901163667,5335
2473901163668,5336
2473901163669,5337
2473901163670,5338
2473901163671,5341
2473901163672,5344
2473901163719,5350
2473901163720,5350
2473901163721,5354
2473901163722,5358
2473901163723,5359
2473901163724,5360
2473901163725,5361
2473901163726,5362
2473901163727,5363
2473901163728,5365
2473901163729,5365
2473901163730,5366
2473901163731,5366
2473901163732,5367
2473901163733,5367
2473901163734,5368
2473901163735,5369
2473901163736,5370
2473901163737,5371
2473901163738,5373
2473901163739,5374
2473901163740,5374
2473901163741,5375
2473901163742,5375
2473901163743,5376
2473901163744,5376
2473901163745,5380
2473901163746,5383
2473901163792,5389
2473901163793,5389
2473901163794,5393
2473901163795,5396
2473901163797,5398
2473901163798,5399
2473901163799,5399
2473901163800,5402
2473901163801,5403
2473901163802,5404
2473901163803,5404
2473901163804,5405
2473901163805,5405
2473901163806,5406
2473901163807,5406
2473901163808,5409
2473901163809,5409
2473901163810,5410
2473901163811,5414
2473901163812,5414
2473901163813,5415
2473901163814,5418
2473901163815,5421
2473901163816,5422
2473901163817,5423
2473901163818,5424
2473901163819,5425
2473901163820,5426
2473901163821,5429
2473901163822,5429
2473901163823,5430
2473901163824,5430
2473901163825,5431
2473901163826,5432
2473901163827,5435
2473901163828,5436
2473901163829,5437
2473901163830,5438
2473901163831,5439
2473901163832,5440
2473901163833,5441
2473901163834,5442
2473901163835,5444
2473901163836,5445
2473901163837,5446
2473901163838,5446
2473901163839,5447
2473901163840,5450
2473901163841,5453
2473901163886,5459
2473901163887,5459
2473901163888,5464
2473901163889,5468
2473901163890,5469
2473901163891,5470
2473901163893,5471
2473901163894,5472
2473901163895,5472
2473901163896,5475
2473901163897,5475
2473901163898,5476
2473901163899,5476
2473901163900,5477
2473901163901,5478
2473901163902,5478
2473901163903,5481
2473901163904,5483
2473901163905,5484
2473901163906,5485
2473901163907,5486
2473901163908,5487
2473901163909,5491
2473901163910,5492
2473901163912,5493
2473901163913,5494
2473901163914,5495
2473901163915,5497
2473901163916,5498
2473901163917,5498
2473901163918,5499
2473901163919,5499
2473901163920,5500
2473901163921,5500
2473901163922,5504
2473901163923,5507
2473901163971,5513
2473901163972,5513
2473901163973,5517
2473901163974,5520
2473901164002,5526
2473901164003,5526
2473901164004,5527
2473901164005,5527
2473901164006,5528
2473901164007,5528
2473901164008,5531
2473901164009,5531
2473901164010,5532
2473901164011,5536
2473901164012,5536
2473901164013,5540
2473901164014,5544
2473901164015,5545
2473901164016,5546
2473901164017,5547
2473901164018,5548
2473901164019,5548
2473901164020,5551
2473901164021,5552
2473901164022,5553
2473901164023,5553
2473901164024,5554
2473901164025,5554
2473901164026,5555
2473901164027,5555
2473901164028,5558
2473901164029,5558
2473901164030,5559
2473901164031,5563
2473901164032,5563
2473901164033,5564
2473901164034,5567
2473901164035,5570
2473901164036,5571
2473901164037,5572
2473901164038,5573
2473901164039,5573
2473901164040,5577
2473901164041,5581
2473901164042,5581
2473901164043,5582
2473901164044,5582
2473901164045,5583
2473901164046,5584
2473901164047,5585
2473901164048,5586
2473901164049,5587
2473901164050,5590
2473901164051,5593
2473901164098,5599
2473901164099,5599
2473901164100,5603
2473901164101,5607
2473901164102,5608
2473901164103,5609
2473901164104,5610
2473901164105,5611
2473901164106,5612
2473901164107,5614
2473901164108,5614
2473901164109,5615
2473901164110,5615
2473901164111,5616
2473901164112,5616
2473901164113,5617
2473901164114,5618
2473901164115,5619
2473901164116,5620
2473901164117,5622
2473901164118,5623
2473901164119,5623
2473901164120,5624
2473901164121,5624
2473901164122,5625
2473901164123,5625
2473901164124,5629
2473901164125,5632
2473901164171,5638
2473901164172,5638
2473901164173,5642
2473901164174,5645
2473901164176,5646
2473901164177,5646
2473901164178,5647
2473901164179,5647
